n,1/n,log2(n),n^0.51,12*sqrt(n),50*n^0.5,n*log2(n),n^2 - 324,100n^2 + 6n,2n^3,n^log2(n),3^n,2^(32n)
77935.8775,-16.250000,4.022368,8.287500,11.709963,13.768856,20.272368,32.500000,39.143857,49.750000,264.062500,123525.443281,2493948.079642
92681.9000,-16.500000,4.044394,8.415000,11.834963,13.893856,20.544394,33.000000,39.643857,50.500000,272.250000,146897.336033,2965820.800758
110217.9749,-16.750000,4.066089,8.542500,11.959963,14.018856,20.816089,33.500000,40.143857,51.250000,280.562500,174691.357186,3526975.198084
131072.0000,-17.000000,4.087463,8.670000,12.084963,14.143856,21.087463,34.000000,40.643857,52.000000,289.000000,207744.204895,4194304.000000
155871.7550,-17.250000,4.108524,8.797500,12.209963,14.268856,21.358524,34.500000,41.143857,52.750000,297.562500,247050.886561,4987896.159284
185363.8000,-17.500000,4.129283,8.925000,12.334963,14.393856,21.629283,35.000000,41.643857,53.500000,306.250000,293794.672066,5931641.601516
220435.9499,-17.750000,4.149747,9.052500,12.459963,14.518856,21.899747,35.500000,42.143857,54.250000,315.062500,349382.714371,7053950.396169
262144.0000,-18.000000,4.169925,9.180000,12.584963,14.643856,22.169925,36.000000,42.643857,55.000000,324.000000,415488.409789,8388608.000000
311743.5100,-18.250000,4.189825,9.307500,12.709963,14.768856,22.439825,36.500000,43.143856,55.750000,333.062500,494101.773122,9975792.318569
370727.6001,-18.500000,4.209453,9.435000,12.834963,14.893856,22.709453,37.000000,43.643856,56.500000,342.250000,587589.344133,11863283.203031
440871.8998,-18.750000,4.228819,9.562500,12.959963,15.018856,22.978819,37.500000,44.143856,57.250000,351.562500,698765.428742,14107900.792337
524288.0000,-19.000000,4.247928,9.690000,13.084963,15.143856,23.247928,38.000000,44.643856,58.000000,361.000000,830976.819578,16777216.000000
623487.0199,-19.250000,4.266787,9.817500,13.209963,15.268856,23.516787,38.500000,45.143856,58.750000,370.562500,988203.546245,19951584.637137
741455.2002,-19.500000,4.285402,9.945000,13.334963,15.393856,23.785402,39.000000,45.643856,59.500000,380.250000,1175178.688265,23726566.406063
881743.7995,-19.750000,4.303781,10.072500,13.459963,15.518856,24.053781,39.500000,46.143856,60.250000,390.062500,1397530.857484,28215801.584675
1048576.0000,-20.000000,4.321928,10.200000,13.584963,15.643856,24.321928,40.000000,46.643856,61.000000,400.000000,1661953.639156,33554432.000000
