n,brute_ms,sort_ms,hash_ms
500,0.000,0.000,0.000
1000,0.000,1.000,0.000
2000,0.000,0.000,0.000
4000,0.000,0.000,1.000
8000,0.000,2.000,0.000
16000,0.000,3.000,0.000
