structure,operation,n,avg_time_ns
Sorted SLL,Max,2000,4951.00
Sorted SLL,Min,2000,19.67
Sorted SLL,Predecessor,2000,5195.67
Sorted SLL,Successor,2000,21.33
Sorted SLL,Insert,2000,5457.00
Sorted SLL,Delete,2000,6030.33
Unsorted DLL,Search,2000,4399.00
Unsorted DLL,Max,2000,4164.67
Unsorted DLL,Min,2000,4153.00
Unsorted DLL,Predecessor,2000,4662.33
Unsorted DLL,Successor,2000,4883.00
Unsorted DLL,Insert,2000,37.33
Unsorted DLL,Delete,2000,32.33
Sorted DLL,Search,2000,5615.33
Sorted DLL,Max,2000,20.33
Sorted DLL,Min,2000,19.00
Sorted DLL,Predecessor,2000,21.00
Sorted DLL,Successor,2000,20.00
Sorted DLL,Insert,2000,5357.33
Sorted DLL,Delete,2000,33.33
Unsorted Array,Search,4000,2849.67
Unsorted Array,Max,4000,5267.33
Unsorted Array,Min,4000,3745.67
Unsorted Array,Predecessor,4000,5980.33
Unsorted Array,Successor,4000,6544.00
Unsorted Array,Insert,4000,21.67
Unsorted Array,Delete,4000,20.67
Sorted Array,Search,4000,48.00
Sorted Array,Max,4000,21.00
Sorted Array,Min,4000,21.33
Sorted Array,Predecessor,4000,20.33
Sorted Array,Successor,4000,20.00
Sorted Array,Insert,4000,3994.67
Sorted Array,Delete,4000,3224.33
Unsorted SLL,Search,4000,9658.67
Unsorted SLL,Max,4000,10409.67
Unsorted SLL,Min,4000,10252.33
Unsorted SLL,Predecessor,4000,11799.67
Unsorted SLL,Successor,4000,9653.00
Unsorted SLL,Insert,4000,70.33
Unsorted SLL,Delete,4000,10407.67
Sorted SLL,Search,4000,14316.67
Sorted SLL,Max,4000,14921.00
Sorted SLL,Min,4000,21.00
Sorted SLL,Predecessor,4000,14330.67
Sorted SLL,Successor,4000,21.00
Sorted SLL,Insert,4000,13660.00
Sorted SLL,Delete,4000,15007.33
Unsorted DLL,Search,4000,8741.67
Unsorted DLL,Max,4000,8305.33
Unsorted DLL,Min,4000,8346.00
Unsorted DLL,Predecessor,4000,9053.67
Unsorted DLL,Successor,4000,9132.33
Unsorted DLL,Insert,4000,67.67
Unsorted DLL,Delete,4000,30.00
Sorted DLL,Search,4000,13174.00
Sorted DLL,Max,4000,20.00
Sorted DLL,Min,4000,19.33
Sorted DLL,Predecessor,4000,20.00
Sorted DLL,Successor,4000,19.67
Sorted DLL,Insert,4000,18661.33
Sorted DLL,Delete,4000,33.67
Unsorted Array,Search,8000,6060.00
Unsorted Array,Max,8000,5892.33
Unsorted Array,Min,8000,5705.33
Unsorted Array,Predecessor,8000,14388.33
Unsorted Array,Successor,8000,17381.33
Unsorted Array,Insert,8000,29.67
Unsorted Array,Delete,8000,20.33
Sorted Array,Search,8000,47.33
Sorted Array,Max,8000,19.33
Sorted Array,Min,8000,20.00
Sorted Array,Predecessor,8000,19.00
Sorted Array,Successor,8000,20.67
Sorted Array,Insert,8000,8733.67
Sorted Array,Delete,8000,6189.00
Unsorted SLL,Search,8000,18535.33
Unsorted SLL,Max,8000,18595.00
Unsorted SLL,Min,8000,18444.33
Unsorted SLL,Predecessor,8000,24273.33
Unsorted SLL,Successor,8000,22440.67
Unsorted SLL,Insert,8000,44.00
Unsorted SLL,Delete,8000,19283.67
Sorted SLL,Search,8000,30088.67
Sorted SLL,Max,8000,30066.00
Sorted SLL,Min,8000,19.67
Sorted SLL,Predecessor,8000,30524.67
Sorted SLL,Successor,8000,24.33
Sorted SLL,Insert,8000,30347.00
Sorted SLL,Delete,8000,31467.67
Unsorted DLL,Search,8000,16382.33
Unsorted DLL,Max,8000,16508.33
Unsorted DLL,Min,8000,15792.67
Unsorted DLL,Predecessor,8000,22015.00
Unsorted DLL,Successor,8000,22238.33
Unsorted DLL,Insert,8000,44.00
Unsorted DLL,Delete,8000,31.67
Sorted DLL,Search,8000,30291.67
Sorted DLL,Max,8000,22.67
Sorted DLL,Min,8000,19.33
Sorted DLL,Predecessor,8000,20.00
Sorted DLL,Successor,8000,20.00
Sorted DLL,Insert,8000,31024.00
Sorted DLL,Delete,8000,63.33
Unsorted Array,Search,16000,9169.67
Unsorted Array,Max,16000,12813.00
Unsorted Array,Min,16000,13084.33
Unsorted Array,Predecessor,16000,71917.67
Unsorted Array,Successor,16000,70856.67
Unsorted Array,Insert,16000,30.67
Unsorted Array,Delete,16000,22.00
Sorted Array,Search,16000,50.00
Sorted Array,Max,16000,20.67
Sorted Array,Min,16000,19.67
Sorted Array,Predecessor,16000,20.67
Sorted Array,Successor,16000,21.00
Sorted Array,Insert,16000,15431.67
Sorted Array,Delete,16000,15977.00
Unsorted SLL,Search,16000,39664.33
Unsorted SLL,Max,16000,38989.67
Unsorted SLL,Min,16000,39439.00
Unsorted SLL,Predecessor,16000,55876.67
Unsorted SLL,Successor,16000,54737.33
Unsorted SLL,Insert,16000,46.00
Unsorted SLL,Delete,16000,41918.00
Sorted SLL,Search,16000,84910.00
Sorted SLL,Max,16000,81611.67
Sorted SLL,Min,16000,19.33
Sorted SLL,Predecessor,16000,78163.67
Sorted SLL,Successor,16000,22.33
Sorted SLL,Insert,16000,71379.67
Sorted SLL,Delete,16000,75313.00
Unsorted DLL,Search,16000,37979.67
Unsorted DLL,Max,16000,32051.67
Unsorted DLL,Min,16000,34942.33
Unsorted DLL,Predecessor,16000,51647.33
Unsorted DLL,Successor,16000,50664.33
Unsorted DLL,Insert,16000,48.33
Unsorted DLL,Delete,16000,31.33
Sorted DLL,Search,16000,68614.33
Sorted DLL,Max,16000,19.67
Sorted DLL,Min,16000,19.67
Sorted DLL,Predecessor,16000,19.33
Sorted DLL,Successor,16000,19.33
Sorted DLL,Insert,16000,85090.33
Sorted DLL,Delete,16000,61.00
